MatchID,AttackPoints,DefensePoints,Outcome
1755,14,7,lose
1755,18,13,win
1759,10,10,lose
1759,17,11,lose
1765,18,9,win
1765,16,12,lose
1773,17,16,win
1773,15,7,lose
1776,18,7,lose
1776,22,17,win
1780,18,11,lose
1780,21,6,lose
1783,16,14,win
1783,22,7,lose
1791,21,10,win
1791,18,8,lose
1797,18,10,lose
1797,28,13,win
1686,14,10,win
1686,17,11,lose
1695,9,7,lose
1695,12,14,win
1700,9,9,lose
1700,7,9,win
1707,10,6,lose
1707,9,15,win
1710,8,7,lose
1710,14,17,win
1714,15,5,lose
1714,13,11,win
1717,16,15,win
1717,9,4,lose
1727,16,5,win
1727,16,7,lose
1737,18,11,win
1737,16,5,lose
1738,13,11,win
1738,10,8,lose
1750,18,11,win
1750,17,7,lose
1758,21,10,win
1758,14,11,lose
1760,13,6,lose
1760,16,13,win
1767,16,5,lose
1767,20,13,win
1770,16,6,lose
1770,20,9,win
1776,18,7,lose
1776,22,17,win
1782,20,8,lose
1782,17,7,lose
1788,19,5,lose
1788,19,8,win
1792,22,6,lose
1792,20,7,win
1685,14,9,lose
1685,13,10,win
1688,15,8,lose
1688,15,14,win
1692,19,4,lose
1692,23,6,win
1695,9,7,lose
1695,12,14,win
1705,10,10,lose
1705,6,11,lose
1715,12,9,lose
1715,18,13,win
1721,12,8,lose
1721,12,16,win
1722,11,10,lose
1722,10,10,lose
1731,20,3,lose
1731,21,10,win
1741,5,9,lose
1741,9,12,win
1749,9,10,lose
1749,13,14,win
1756,20,8,win
1756,17,7,lose
1761,18,7,win
1761,21,8,lose
1771,11,7,lose
1771,16,15,win
1778,16,7,lose
1778,18,11,win
1782,20,8,lose
1782,17,7,lose
1790,22,7,lose
1790,19,8,win
1794,19,6,lose
1794,23,12,win
1688,15,8,lose
1688,15,14,win
1693,10,8,win
1693,11,10,lose
1700,9,9,lose
1700,7,9,win
1709,12,9,lose
1709,17,10,win
1713,12,10,lose
1713,11,10,lose
1718,11,8,lose
1718,9,12,win
1729,12,6,lose
1729,16,9,win
1732,14,10,lose
1732,15,11,lose
1736,14,6,lose
1736,14,8,win
1739,12,6,lose
1739,11,10,win
1748,18,10,win
1748,14,6,lose
1754,17,7,win
1754,12,10,lose
1756,20,8,win
1756,17,7,lose
1764,29,8,win
1764,20,3,lose
1767,16,5,lose
1767,20,13,win
1774,15,7,lose
1774,16,14,win
1780,18,11,lose
1780,21,6,lose
1785,13,13,win
1785,9,7,lose
1796,24,16,win
1796,11,7,lose
1800,16,9,lose
1800,20,6,win
